Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 2.043088	Val Loss: 2.134673	Val Acc: 33.900001525878906
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 2.169973	Val Loss: 2.172927	Val Acc: 33.5
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 1.925857	Val Loss: 2.126128	Val Acc: 31.700000762939453
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 1.991738	Val Loss: 2.042472	Val Acc: 35.0
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 1.905256	Val Loss: 2.204019	Val Acc: 29.799999237060547
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 2.064450	Val Loss: 2.219933	Val Acc: 30.0
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 1.940471	Val Loss: 2.093465	Val Acc: 32.20000076293945
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 2.092090	Val Loss: 2.062367	Val Acc: 33.79999923706055
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 2.098133	Val Loss: 2.013372	Val Acc: 34.79999923706055
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 2.050439	Val Loss: 2.018186	Val Acc: 33.29999923706055
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 2.009119	Val Loss: 2.161749	Val Acc: 31.399999618530273
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 2.115351	Val Loss: 2.058547	Val Acc: 34.0
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 2.022561	Val Loss: 1.996101	Val Acc: 34.0
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.942400	Val Loss: 2.094052	Val Acc: 32.099998474121094
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 2.055516	Val Loss: 2.005250	Val Acc: 31.799999237060547
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.853384	Val Loss: 2.055002	Val Acc: 36.70000076293945
Train Epoch: 4 [17920/49000 (36%)]	Train Loss: 1.957734	Val Loss: 2.119380	Val Acc: 34.599998474121094
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.960205	Val Loss: 2.153960	Val Acc: 33.099998474121094
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 1.910222	Val Loss: 2.092273	Val Acc: 33.20000076293945
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.925918	Val Loss: 2.046634	Val Acc: 34.599998474121094
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 2.117730	Val Loss: 2.155598	Val Acc: 31.5
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.993084	Val Loss: 2.141916	Val Acc: 33.099998474121094
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 1.957508	Val Loss: 2.029401	Val Acc: 34.400001525878906
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.838108	Val Loss: 2.031369	Val Acc: 35.70000076293945
